i,x (ciclo),f(x) = QD (Ah),x²,x · f(x)
821,890,1.044744,792100,929.822071
822,891,1.044478,793881,930.630165
823,892,1.044326,795664,931.538346
824,893,1.044461,797449,932.703584
825,894,1.043952,799236,933.292999
826,895,1.043522,801025,933.95219
827,896,1.044124,802816,935.534746
828,897,1.044036,804609,936.500561
829,898,1.044362,806404,937.837166
830,899,1.04452,808201,939.02321
831,900,1.044654,810000,940.18851
832,901,1.035649,811801,933.119839
833,902,1.0448,813604,942.410051
834,903,1.044933,815409,943.574318
835,904,1.044018,817216,943.79191
836,905,1.04453,819025,945.299559
837,906,1.044307,820836,946.142233
838,907,1.043955,822649,946.867004
839,908,1.043496,824464,947.494096
840,909,1.04099,826281,946.260364
841,910,1.042083,828100,948.29553
842,911,1.04252,829921,949.735902
843,912,1.042874,831744,951.101179
844,913,1.043024,833569,952.280456
845,914,1.042229,835396,952.597672
846,915,1.043194,837225,954.522968
847,916,1.040631,839056,953.218362
848,917,1.040604,840889,954.233685
849,918,1.041035,842724,955.670497
850,919,1.042332,844561,957.90274
851,920,1.037818,846400,954.792836
852,921,1.041466,848241,959.190186
853,922,1.042851,850084,961.508991
854,923,1.041073,851929,960.910748
855,924,1.04142,853776,962.272172
856,925,1.041479,855625,963.36826
857,926,1.041783,857476,964.690688
858,927,1.041655,859329,965.614463
859,928,1.039679,861184,964.821741
860,929,1.041935,863041,967.957336
861,930,1.041189,864900,968.305491
862,931,1.042021,866761,970.122016
863,932,1.040633,868624,969.869583
864,933,1.040574,870489,970.855822
865,934,1.04098,872356,972.275227
866,935,1.040159,874225,972.548665
867,936,1.040844,876096,974.229516
868,937,1.041151,877969,975.5583
869,938,1.040284,879844,975.786298
870,939,1.040717,881721,977.233169
871,940,1.040363,883600,977.941596
872,941,1.04018,885481,978.809662
873,942,1.040533,887364,980.182463
874,943,1.040307,889249,981.00969
875,944,1.039661,891136,981.439606
876,945,1.035804,893025,978.834496
877,946,1.040701,894916,984.502957
878,947,1.041296,896809,986.107217
879,948,1.040963,898704,986.832829
880,949,1.04031,900601,987.254664
881,950,1.0368,902500,984.96038
882,951,1.04143,904401,990.39993
883,952,1.039399,906304,989.507848
884,953,1.04053,908209,991.625185
885,954,1.040575,910116,992.708645
886,955,1.040099,912025,993.294927
887,956,1.038647,913936,992.946819
888,957,1.038918,915849,994.244813
889,958,1.039237,917764,995.589046
890,959,1.039138,919681,996.533726
891,960,1.039317,921600,997.744704
892,961,1.040107,923521,999.542731
893,962,1.038788,925444,999.314152
894,963,1.039635,927369,1001.168698
895,964,1.039667,929296,1002.238988
896,965,1.040328,931225,1003.917002
897,966,1.0378,933156,1002.515186
898,967,1.039861,935089,1005.545877
899,968,1.040024,937024,1006.742845
900,969,1.039369,938961,1007.148464
901,970,1.039685,940900,1008.494547
902,971,1.039724,942841,1009.571518
903,972,1.038919,944784,1009.828782
904,973,1.038785,946729,1010.738097
905,974,1.040009,948676,1012.968571
906,975,1.039487,950625,1013.500312
907,976,1.039411,952576,1014.464843
908,977,1.039267,954529,1015.363957
909,978,1.039625,956484,1016.753641
910,979,1.038941,958441,1017.123337
911,980,1.039036,960400,1018.255672
912,981,1.039283,962361,1019.536231
913,982,1.039104,964324,1020.399833
914,983,1.038846,966289,1021.185618
915,984,1.039367,968256,1022.736734
916,985,1.038511,970225,1022.933729
917,986,1.038763,972196,1024.220614
918,987,1.038576,974169,1025.074512
919,988,1.039616,976144,1027.140213
920,989,1.038425,978121,1027.001831
921,990,1.038235,980100,1027.852848
922,991,1.038181,982081,1028.837173
923,992,1.038467,984064,1030.158966
924,993,1.038632,986049,1031.361278
925,994,1.038928,988036,1032.69483
926,995,1.038431,990025,1033.238646
927,996,1.038292,992016,1034.139031
928,997,1.038328,994009,1035.213514
929,998,1.039122,996004,1037.043756
930,999,1.038706,998001,1037.667494
931,1000,1.038912,1000000,1038.9125
932,1001,1.03859,1002001,1039.62809
933,1002,1.03912,1004004,1041.198641
934,1003,1.038671,1006009,1041.787414
935,1004,1.0392,1008016,1043.357101
936,1005,1.038798,1010025,1043.992492
937,1006,1.038752,1012036,1044.984914
938,1007,1.038227,1014049,1045.49469
939,1008,1.038262,1016064,1046.567995
940,1009,1.038129,1018081,1047.472363
941,1010,1.038644,1020100,1049.029935
942,1011,1.03838,1022121,1049.801978
943,1012,1.038734,1024144,1051.199213
944,1013,1.038408,1026169,1051.907507
945,1014,1.038403,1028196,1052.940946
946,1015,1.038251,1030225,1053.824562
947,1016,1.0386,1032256,1055.218006
948,1017,1.038269,1034289,1055.919878
949,1018,1.038015,1036324,1056.699677
950,1019,1.038009,1038361,1057.731069
951,1020,1.038156,1040400,1058.919426
952,1021,1.038091,1042441,1059.890809
953,1022,1.038057,1044484,1060.894458
954,1023,1.038161,1046529,1062.03901
955,1024,1.037668,1048576,1062.572032
956,1025,1.038175,1050625,1064.129477
957,1026,1.037522,1052676,1064.49788
958,1027,1.037714,1054729,1065.732073
959,1028,1.037604,1056784,1066.656809
960,1029,1.037638,1058841,1067.729605
961,1030,1.036672,1060900,1067.772366
962,1031,1.037188,1062961,1069.341137
963,1032,1.037078,1065024,1070.264496
964,1033,1.037319,1067089,1071.550114
965,1034,1.037408,1069156,1072.680286
966,1035,1.036459,1071225,1072.734651
967,1036,1.03688,1073296,1074.207991
968,1037,1.036782,1075369,1075.143038
969,1038,1.036449,1077444,1075.833751
970,1039,1.036749,1079521,1077.182419
971,1040,1.036824,1081600,1078.297272
972,1041,1.03685,1083681,1079.361162
973,1042,1.036988,1085764,1080.541496
974,1043,1.036646,1087849,1081.221569
975,1044,1.037051,1089936,1082.680931
976,1045,1.036622,1092025,1083.26999
977,1046,1.036436,1094116,1084.112161
978,1047,1.036977,1096209,1085.715233
979,1048,1.036675,1098304,1086.435714
980,1049,1.03662,1100401,1087.414485
981,1050,1.036702,1102500,1088.53689
982,1051,1.036768,1104601,1089.643273
983,1052,1.03666,1106704,1090.566741
984,1053,1.035921,1108809,1090.824708
985,1054,1.036233,1110916,1092.189371
986,1055,1.035984,1113025,1092.96312
987,1056,1.036286,1115136,1094.318122
988,1057,1.036345,1117249,1095.417088
989,1058,1.036164,1119364,1096.261829
990,1059,1.036328,1121481,1097.47167
991,1060,1.03537,1123600,1097.492412
992,1061,1.036152,1125721,1099.357484
993,1062,1.035022,1127844,1099.193789
994,1063,1.035448,1129969,1100.681649
995,1064,1.035789,1132096,1102.079496
996,1065,1.035259,1134225,1102.550516
997,1066,1.035548,1136356,1103.893635
998,1067,1.035187,1138489,1104.544316
999,1068,1.035427,1140624,1105.835929
1000,1069,1.035566,1142761,1107.020375
1001,1070,1.035011,1144900,1107.461342
1002,1071,1.035574,1147041,1109.09954
1003,1072,1.035009,1149184,1109.530077
1004,1073,1.035075,1151329,1110.635153
1005,1074,1.035493,1153476,1112.119267
1006,1075,1.03525,1155625,1112.894072
1007,1076,1.034974,1157776,1113.631916
1008,1077,1.033973,1159929,1113.588598
1009,1078,1.034607,1162084,1115.306562
1010,1079,1.034304,1164241,1116.01434
1011,1080,1.034834,1166400,1117.621152
1012,1081,1.034313,1168561,1118.092029
1013,1082,1.034174,1170724,1118.975727
1014,1083,1.034246,1172889,1120.087985
1015,1084,1.034439,1175056,1121.331984
1016,1085,1.034642,1177225,1122.586462
1017,1086,1.034355,1179396,1123.309421
1018,1087,1.034108,1181569,1124.075613
1019,1088,1.03448,1183744,1125.513696
1020,1089,1.033915,1185921,1125.933217
1021,1090,1.033767,1188100,1126.805594
1022,1091,1.033653,1190281,1127.714878
1023,1092,1.034058,1192464,1129.191664
1024,1093,1.0336,1194649,1129.725128
1025,1094,1.033855,1196836,1131.037589
1026,1095,1.033312,1199025,1131.476421
1027,1096,1.033223,1201216,1132.412627
1028,1097,1.033228,1203409,1133.451116
1029,1098,1.033473,1205604,1134.753354
1030,1099,1.033695,1207801,1136.031025
1031,1100,1.033379,1210000,1136.71668
1032,1101,1.032873,1212201,1137.192953
1033,1102,1.033146,1214404,1138.527002
1034,1103,1.033216,1216609,1139.637138
1035,1104,1.033344,1218816,1140.812218
1036,1105,1.033302,1221025,1141.7986
1037,1106,1.033336,1223236,1142.869837
1038,1107,1.033467,1225449,1144.04819
1039,1108,1.033182,1227664,1144.765434
1040,1109,1.033389,1229881,1146.028845
1041,1110,1.032292,1232100,1145.844342
1042,1111,1.033007,1234321,1147.670777
1043,1112,1.032326,1236544,1147.946734
1044,1113,1.032814,1238769,1149.521426
1045,1114,1.032938,1240996,1150.693378
1046,1115,1.031887,1243225,1150.554116
1047,1116,1.032615,1245456,1152.398786
1048,1117,1.032218,1247689,1152.987171
1049,1118,1.032669,1249924,1154.524501
1050,1119,1.031916,1252161,1154.713668
1051,1120,1.031869,1254400,1155.693056
1052,1121,1.031739,1256641,1156.579531
1053,1122,1.031455,1258884,1157.292398
1054,1123,1.03168,1261129,1158.576752
1055,1124,1.031988,1263376,1159.9544
1056,1125,1.031149,1265625,1160.042175
1057,1126,1.031329,1267876,1161.276004
1058,1127,1.031759,1270129,1162.792393
1059,1128,1.031597,1272384,1163.641078
1060,1129,1.031086,1274641,1164.09553
1061,1130,1.030809,1276900,1164.813944
1062,1131,1.031828,1279161,1166.997242
1063,1132,1.031197,1281424,1167.31523
1064,1133,1.031487,1283689,1168.674998
1065,1134,1.030822,1285956,1168.952375
1066,1135,1.031468,1288225,1170.716748
1067,1136,1.031458,1290496,1171.736856
1068,1137,1.030561,1292769,1171.747971
1069,1138,1.030556,1295044,1172.772842
1070,1139,1.030516,1297321,1173.75761
1071,1140,1.030526,1299600,1174.80021
1072,1141,1.030196,1301881,1175.45375
1073,1142,1.030444,1304164,1176.766477
1074,1143,1.030073,1306449,1177.373325
1075,1144,1.030324,1308736,1178.69077
1076,1145,1.029824,1311025,1179.14848
1077,1146,1.030022,1313316,1180.405556
1078,1147,1.030287,1315609,1181.739074
1079,1148,1.030225,1317904,1182.698644
1080,1149,1.029429,1320201,1182.813461
1081,1150,1.0299,1322500,1184.38477
1082,1151,1.029354,1324801,1184.786339
1083,1152,1.029575,1327104,1186.069824
1084,1153,1.029398,1329409,1186.89624
1085,1154,1.029162,1331716,1187.653179
1086,1155,1.029492,1334025,1189.06326
1087,1156,1.029654,1336336,1190.28014
1088,1157,1.029807,1338649,1191.486583
1089,1158,1.029033,1340964,1191.620561
1090,1159,1.02912,1343281,1192.75008
1091,1160,1.028875,1345600,1193.495
1092,1161,1.028919,1347921,1194.575191
1093,1162,1.028962,1350244,1195.654193
1094,1163,1.028968,1352569,1196.689435
1095,1164,1.029046,1354896,1197.810126
1096,1165,1.028814,1357225,1198.568077
1097,1166,1.028474,1359556,1199.200567
1098,1167,1.02823,1361889,1199.94441
1099,1168,1.028346,1364224,1201.108712
1100,1169,1.02812,1366561,1201.872631
1101,1170,1.027757,1368900,1202.475339
1102,1171,1.028087,1371241,1203.88976
1103,1172,1.028422,1373584,1205.310701
1104,1173,1.028302,1375929,1206.197894
1105,1174,1.027766,1378276,1206.596814
1106,1175,1.027971,1380625,1207.865572
1107,1176,1.027877,1382976,1208.783234
1108,1177,1.027122,1385329,1208.922241
1109,1178,1.027259,1387684,1210.111338
1110,1179,1.027509,1390041,1211.433347
1111,1180,1.026854,1392400,1211.688192
1112,1181,1.02726,1394761,1213.193942
1113,1182,1.027007,1397124,1213.922156
1114,1183,1.026524,1399489,1214.378365
1115,1184,1.026892,1401856,1215.84001
1116,1185,1.026472,1404225,1216.36932
1117,1186,1.0267,1406596,1217.6662
1118,1187,1.026499,1408969,1218.453838
1119,1188,1.026677,1411344,1219.692038
1120,1189,1.02621,1413721,1220.163452
Σ,697406,1179.37097,554612058,729213.275098
